Detachment,Games,Win %
Adepta Sororitas - Army of Faith,708,45.62%
Adepta Sororitas - Bringers of Flame,819,44.69%
Adepta Sororitas - Champions Of Faith,1856,52.37%
Adepta Sororitas - Hallowed Martyrs,2916,51.47%
Adepta Sororitas - Penitent Host,261,38.31%
Adeptus Custodes - Auric Champions,47,40.43%
Adeptus Custodes - Lions of the Emperor,7760,52.94%
Adeptus Custodes - Lions Of The Emperor,118,66.10%
Adeptus Custodes - Null Maiden Vigil,33,39.39%
Adeptus Custodes - Shield Host,2637,47.14%
Adeptus Custodes - Solar Spearhead,1029,53.64%
Adeptus Custodes - Talons of the Emperor,475,54.32%
Adeptus Mechanicus - Cohort Cybernetica,407,43.98%
Adeptus Mechanicus - Data-Psalm Conclave,96,47.92%
Adeptus Mechanicus - Explorer Maniple,33,36.36%
Adeptus Mechanicus - Haloscreed Battle Clade,2495,48.98%
Adeptus Mechanicus - Rad-Zone Corps,360,44.17%
Adeptus Mechanicus - Skitarii Hunter Cohort,893,50.84%
Aeldari - Armoured Warhost,82,53.66%
Aeldari - Aspect Host,4180,53.73%
Aeldari - Battle Host,156,59.62%
Aeldari - Devoted of Ynnead,233,33.05%
Aeldari - Ghosts of the Webway,621,40.42%
Aeldari - Guardian Battlehost,315,50.79%
Aeldari - Seer Council,967,50.36%
Aeldari - Spirit Conclave,657,39.12%
Aeldari - Warhost,3167,49.70%
Aeldari - Windrider Host,474,47.26%
Astra Militarum - Bridgehead Strike,265,43.02%
Astra Militarum - Combined Arms,6366,46.01%
Astra Militarum - Combined Regiment,215,60.00%
Astra Militarum - Hammer Of The Emperor,2478,45.44%
Astra Militarum - Mechanised Assault,671,38.90%
Astra Militarum - Recon Element,662,43.96%
Astra Militarum - Siege Regiment,637,39.09%
Black Templars - 1st Company Task Force,14,21.43%
Black Templars - Anvil Siege Force,22,59.09%
Black Templars - Companions of Vehemence,623,42.86%
Black Templars - Firestorm Assault Force,25,68.00%
Black Templars - Gladius Task Force,3320,54.64%
Black Templars - Godhammer Assault Force,386,43.78%
Black Templars - Ironstorm Spearhead,223,60.09%
Black Templars - Librarius Conclave,8,62.50%
Black Templars - Righteous Crusaders,2195,45.97%
Black Templars - Stormlance Task Force,124,55.65%
Black Templars - Vanguard Spearhead,63,60.32%
Black Templars - Vindication Task Force,144,34.03%
Black Templars - Wrathful Procession,848,42.92%
Blood Angels - 1st Company Task Force,10,40.00%
Blood Angels - Angelic Inheritors,2119,50.83%
Blood Angels - Anvil Siege Force,11,27.27%
Blood Angels - Firestorm Assault Force,25,48.00%
Blood Angels - Gladius Task Force,75,44.00%
Blood Angels - Ironstorm Spearhead,28,32.14%
Blood Angels - Liberator Assault Group,8915,48.55%
