Mission,Deployment,Games,Win %,VP,Faction
Burden Of Trust,Crucible Of Battle,13,61.54%,71.63,Adepta Sororitas
Burden Of Trust,Dawn Of War,25,72.00%,62.00,Adepta Sororitas
Burden Of Trust,Hammer And Anvil,25,48.00%,59.08,Adepta Sororitas
Burden Of Trust,Search And Destroy,21,38.10%,69.88,Adepta Sororitas
Burden Of Trust,Sweeping Engagement,10,40.00%,59.50,Adepta Sororitas
Burden Of Trust,Tipping Point,12,41.67%,63.80,Adepta Sororitas
Hidden Supplies,Crucible Of Battle,147,48.98%,72.99,Adepta Sororitas
Hidden Supplies,Dawn Of War,23,52.17%,73.92,Adepta Sororitas
Hidden Supplies,Hammer And Anvil,177,51.98%,74.83,Adepta Sororitas
Hidden Supplies,Search And Destroy,372,53.23%,76.28,Adepta Sororitas
Hidden Supplies,Sweeping Engagement,7,14.29%,61.00,Adepta Sororitas
Hidden Supplies,Tipping Point,8,62.50%,79.20,Adepta Sororitas
Linchpin,Crucible Of Battle,80,50.00%,74.28,Adepta Sororitas
Linchpin,Dawn Of War,209,45.45%,69.63,Adepta Sororitas
Linchpin,Hammer And Anvil,14,50.00%,61.00,Adepta Sororitas
Linchpin,Search And Destroy,420,53.33%,74.64,Adepta Sororitas
Linchpin,Sweeping Engagement,18,55.56%,68.20,Adepta Sororitas
Linchpin,Tipping Point,401,50.87%,75.98,Adepta Sororitas
Purge The Foe,Crucible Of Battle,429,48.95%,82.29,Adepta Sororitas
Purge The Foe,Dawn Of War,139,45.32%,72.52,Adepta Sororitas
Purge The Foe,Hammer And Anvil,252,54.37%,78.73,Adepta Sororitas
Purge The Foe,Search And Destroy,23,47.83%,79.55,Adepta Sororitas
Purge The Foe,Sweeping Engagement,14,42.86%,70.17,Adepta Sororitas
Purge The Foe,Tipping Point,24,37.50%,78.00,Adepta Sororitas
Scorched Earth,Crucible Of Battle,274,48.18%,80.61,Adepta Sororitas
Scorched Earth,Dawn Of War,20,55.00%,67.45,Adepta Sororitas
Scorched Earth,Hammer And Anvil,20,55.00%,77.09,Adepta Sororitas
Scorched Earth,Search And Destroy,251,49.80%,77.90,Adepta Sororitas
Scorched Earth,Sweeping Engagement,9,77.78%,77.86,Adepta Sororitas
Scorched Earth,Tipping Point,262,46.18%,78.02,Adepta Sororitas
Supply Drop,Crucible Of Battle,12,50.00%,72.50,Adepta Sororitas
Supply Drop,Dawn Of War,8,50.00%,68.50,Adepta Sororitas
Supply Drop,Hammer And Anvil,170,50.59%,63.74,Adepta Sororitas
Supply Drop,Search And Destroy,13,23.08%,71.67,Adepta Sororitas
Supply Drop,Sweeping Engagement,93,40.86%,68.45,Adepta Sororitas
Supply Drop,Tipping Point,225,50.67%,66.30,Adepta Sororitas
Take And Hold,Crucible Of Battle,43,53.49%,71.00,Adepta Sororitas
Take And Hold,Dawn Of War,64,53.13%,72.03,Adepta Sororitas
Take And Hold,Hammer And Anvil,318,50.00%,77.96,Adepta Sororitas
Take And Hold,Search And Destroy,433,50.12%,82.24,Adepta Sororitas
Take And Hold,Sweeping Engagement,37,48.65%,70.44,Adepta Sororitas
Take And Hold,Tipping Point,524,54.58%,75.42,Adepta Sororitas
Terraform,Crucible Of Battle,423,55.56%,77.75,Adepta Sororitas
Terraform,Dawn Of War,22,31.82%,82.00,Adepta Sororitas
Terraform,Hammer And Anvil,16,25.00%,46.25,Adepta Sororitas
Terraform,Search And Destroy,24,41.67%,76.60,Adepta Sororitas
Terraform,Sweeping Engagement,303,52.15%,78.46,Adepta Sororitas
Terraform,Tipping Point,25,48.00%,82.00,Adepta Sororitas
The Ritual,Crucible Of Battle,5,40.00%,68.50,Adepta Sororitas
The Ritual,Dawn Of War,12,33.33%,80.50,Adepta Sororitas
Burden Of Trust,Crucible Of Battle,18,44.44%,56.75,Adeptus Custodes
Burden Of Trust,Dawn Of War,43,48.84%,61.57,Adeptus Custodes
Burden Of Trust,Hammer And Anvil,32,56.25%,66.28,Adeptus Custodes
Burden Of Trust,Search And Destroy,29,48.28%,66.71,Adeptus Custodes
Burden Of Trust,Sweeping Engagement,23,47.83%,67.36,Adeptus Custodes
Burden Of Trust,Tipping Point,26,38.46%,75.50,Adeptus Custodes
Hidden Supplies,Crucible Of Battle,369,51.76%,74.61,Adeptus Custodes
Hidden Supplies,Dawn Of War,25,40.00%,63.40,Adeptus Custodes
Hidden Supplies,Hammer And Anvil,311,52.41%,74.37,Adeptus Custodes
Hidden Supplies,Search And Destroy,587,51.45%,75.71,Adeptus Custodes
Hidden Supplies,Sweeping Engagement,17,58.82%,63.20,Adeptus Custodes
